record_type,entity_id,seed,epoch,validation_scope,metric,k_definition,estimate,median_across_genomes,mean_across_lineages,lineage_bootstrap_ci_low,lineage_bootstrap_ci_high,n_genomes,n_lineages,training_loss,huber_loss,ranking_loss,rank_weight,epoch_runtime_seconds,cumulative_training_runtime_seconds,checkpoint_sha256,status,notes
learning_curve,member_seed_11,11.0,1.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.0464213264862023,,,,,,,0.3809294987127977,0.3809294987127977,0.69455160236589,0.0,225.84412110003177,225.84412110003177,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_11,11.0,2.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.1405150783100884,,,,,,,0.37250640534836316,0.37250640534836316,0.6916256227355072,0.0,233.45864329999313,459.3027644000249,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_11,11.0,3.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.1994731237030165,,,,,,,0.3662882424926988,0.3662882424926988,0.6856338635158999,0.0,230.70099100004882,690.0037554000737,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_11,11.0,4.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.14271638672355624,,,,,,,3.0978388826628236,0.3679195892263726,0.682479822261322,4.0,255.51680819998728,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_23,23.0,1.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.02506865793297197,,,,,,,0.37754941785681073,0.37754941785681073,0.6953829335417725,0.0,237.483950200025,237.483950200025,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_23,23.0,2.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.08608368079675043,,,,,,,0.3738446396186156,0.3738446396186156,0.6926390828141844,0.0,292.31065539998235,529.7946056000073,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_23,23.0,3.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.17688583368433047,,,,,,,0.3710336074736959,0.3710336074736959,0.6900198129928055,0.0,216.33037270000204,746.1249783000094,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_23,23.0,4.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.22234637718220587,,,,,,,3.1053069622620293,0.37072929135267285,0.6836444181232637,4.0,210.93109639995964,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_37,37.0,1.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.1259633932021794,,,,,,,0.37581975261370343,0.37581975261370343,0.6939040755016216,0.0,208.65121229999932,208.65121229999932,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
learning_curve,member_seed_37,37.0,2.0,fixed_512_windows_per_validation_genome,mean_within_genome_spearman,,0.2009649127247691,,,,,,,0.36969971779176003,0.36969971779176003,0.6867907859277034,0.0,199.5385973000084,408.1898096000077,see_epoch_checkpoint,valid,CPU runtime; peak GPU memory not available
